product_Name,product_ID,product_Desc,product_Price,stock_Availability,product_Discount,product_Rating,category,
Farm Fresh Milk (200ml),0001,"Full fat, full cream, and full of love from the Farm!",13.95,100,10,4.5,beverages,
Lactel Bliss Yogurt Drink (700g),0002,"made with real fruit juice and live cultures",6.7,50,0,5.0,beverages,
100 PLUS (1.5L),0003,"size 1.5L",2.88,50,0,5,beverages,
Mandarin (800g),0010,"Mandarin from the brightest farm!",13.90,50,5,4.2,fruits,
Red Apple (500g),0011,"The redmost, sweet apple from the farm!",9.90,25,20,4.9,fruits,
Watermelon (1PC),0012,"20.25 per piece, weighing at 9kg",20.25,5,0,4.0,fruits,
Carrot (800g),0020,"local carrot 800g+-",5.6,10,0,3.6,vegetables,
Long Beans (200g),0021,"long beans, size 250-300g",4.6,10,5,4.6,vegetables,
Broccoli (300-350g),0022,"Fresh broccoli weighing without root 250-320g, suit for one family",6.9,25,0,4.5,vegetables,
Chicken Breast (400g),0030,"Lacto Plus Skinless Boneless Chicken 400g+/-",13.3,25,5,4.2,chilledandfrozen,
Chicken Nugget (800g),0031,"one bag = 800g",20.50,25,0,4.4,chilledandfrozen,